iteration = 0, initial residual = 100.000000
iteration = 1, residual = 99.992500
iteration = 2, residual = 99.988124
iteration = 3, residual = 99.984686
iteration = 4, residual = 99.981756
iteration = 5, residual = 99.979158
iteration = 6, residual = 99.976799
iteration = 7, residual = 99.974623
iteration = 8, residual = 99.972593
iteration = 9, residual = 99.970684
iteration = 10, residual = 99.968875
iteration = 11, residual = 99.967152
iteration = 12, residual = 99.965505
iteration = 13, residual = 99.963924
iteration = 14, residual = 99.962401
iteration = 15, residual = 99.960931
iteration = 16, residual = 99.959508
iteration = 17, residual = 99.958129
iteration = 18, residual = 99.956789
iteration = 19, residual = 99.955485
iteration = 20, residual = 99.954214
iteration = 21, residual = 99.952975
iteration = 22, residual = 99.951765
iteration = 23, residual = 99.950581
iteration = 24, residual = 99.949422
iteration = 25, residual = 99.948288
iteration = 26, residual = 99.947175
iteration = 27, residual = 99.946084
iteration = 28, residual = 99.945012
iteration = 29, residual = 99.943959
iteration = 30, residual = 99.942924
iteration = 31, residual = 99.941906
iteration = 32, residual = 99.940904
iteration = 33, residual = 99.939917
iteration = 34, residual = 99.938946
iteration = 35, residual = 99.937988
iteration = 36, residual = 99.937044
iteration = 37, residual = 99.936112
iteration = 38, residual = 99.935193
iteration = 39, residual = 99.934286
iteration = 40, residual = 99.933391
iteration = 41, residual = 99.932506
iteration = 42, residual = 99.931633
iteration = 43, residual = 99.930769
iteration = 44, residual = 99.929915
iteration = 45, residual = 99.929071
iteration = 46, residual = 99.928237
iteration = 47, residual = 99.927411
iteration = 48, residual = 99.926594
iteration = 49, residual = 99.925785
iteration = 50, residual = 99.924985
iteration = 51, residual = 99.924192
iteration = 52, residual = 99.923407
iteration = 53, residual = 99.922630
iteration = 54, residual = 99.921860
iteration = 55, residual = 99.921096
iteration = 56, residual = 99.920340
iteration = 57, residual = 99.919591
iteration = 58, residual = 99.918848
iteration = 59, residual = 99.918111
iteration = 60, residual = 99.917380
iteration = 61, residual = 99.916656
iteration = 62, residual = 99.915937
iteration = 63, residual = 99.915225
iteration = 64, residual = 99.914517
iteration = 65, residual = 99.913816
iteration = 66, residual = 99.913119
iteration = 67, residual = 99.912428
iteration = 68, residual = 99.911742
iteration = 69, residual = 99.911061
iteration = 70, residual = 99.910385
iteration = 71, residual = 99.909713
iteration = 72, residual = 99.909047
iteration = 73, residual = 99.908385
iteration = 74, residual = 99.907727
iteration = 75, residual = 99.907074
iteration = 76, residual = 99.906425
iteration = 77, residual = 99.905780
iteration = 78, residual = 99.905140
iteration = 79, residual = 99.904504
iteration = 80, residual = 99.903871
iteration = 81, residual = 99.903243
iteration = 82, residual = 99.902618
iteration = 83, residual = 99.901997
iteration = 84, residual = 99.901380
iteration = 85, residual = 99.900767
iteration = 86, residual = 99.900157
iteration = 87, residual = 99.899550
iteration = 88, residual = 99.898948
iteration = 89, residual = 99.898348
iteration = 90, residual = 99.897752
iteration = 91, residual = 99.897159
iteration = 92, residual = 99.896569
iteration = 93, residual = 99.895983
iteration = 94, residual = 99.895400
iteration = 95, residual = 99.894819
iteration = 96, residual = 99.894242
iteration = 97, residual = 99.893668
iteration = 98, residual = 99.893097
iteration = 99, residual = 99.892528
iteration = 100, residual = 99.891963
Time taken: 0.051045
