iteration = 0, initial residual = 10.000000
iteration = 1, residual = 9.924717
iteration = 2, residual = 9.880536
iteration = 3, residual = 9.845684
iteration = 4, residual = 9.815883
iteration = 5, residual = 9.789384
iteration = 6, residual = 9.765262
iteration = 7, residual = 9.742961
iteration = 8, residual = 9.722111
iteration = 9, residual = 9.702453
iteration = 10, residual = 9.683797
iteration = 11, residual = 9.665999
iteration = 12, residual = 9.648946
iteration = 13, residual = 9.632549
iteration = 14, residual = 9.616734
iteration = 15, residual = 9.601441
iteration = 16, residual = 9.586619
iteration = 17, residual = 9.572224
iteration = 18, residual = 9.558220
iteration = 19, residual = 9.544576
iteration = 20, residual = 9.531263
iteration = 21, residual = 9.518257
iteration = 22, residual = 9.505537
iteration = 23, residual = 9.493083
iteration = 24, residual = 9.480878
iteration = 25, residual = 9.468907
iteration = 26, residual = 9.457157
iteration = 27, residual = 9.445614
iteration = 28, residual = 9.434267
iteration = 29, residual = 9.423106
iteration = 30, residual = 9.412122
iteration = 31, residual = 9.401305
iteration = 32, residual = 9.390648
iteration = 33, residual = 9.380143
iteration = 34, residual = 9.369783
iteration = 35, residual = 9.359562
iteration = 36, residual = 9.349475
iteration = 37, residual = 9.339515
iteration = 38, residual = 9.329677
iteration = 39, residual = 9.319957
iteration = 40, residual = 9.310350
iteration = 41, residual = 9.300852
iteration = 42, residual = 9.291458
iteration = 43, residual = 9.282166
iteration = 44, residual = 9.272972
iteration = 45, residual = 9.263872
iteration = 46, residual = 9.254863
iteration = 47, residual = 9.245943
iteration = 48, residual = 9.237108
iteration = 49, residual = 9.228356
iteration = 50, residual = 9.219683
iteration = 51, residual = 9.211089
iteration = 52, residual = 9.202571
iteration = 53, residual = 9.194125
iteration = 54, residual = 9.185751
iteration = 55, residual = 9.177446
iteration = 56, residual = 9.169209
iteration = 57, residual = 9.161037
iteration = 58, residual = 9.152930
iteration = 59, residual = 9.144884
iteration = 60, residual = 9.136899
iteration = 61, residual = 9.128973
iteration = 62, residual = 9.121105
iteration = 63, residual = 9.113293
iteration = 64, residual = 9.105535
iteration = 65, residual = 9.097832
iteration = 66, residual = 9.090181
iteration = 67, residual = 9.082581
iteration = 68, residual = 9.075031
iteration = 69, residual = 9.067529
iteration = 70, residual = 9.060076
iteration = 71, residual = 9.052670
iteration = 72, residual = 9.045309
iteration = 73, residual = 9.037993
iteration = 74, residual = 9.030721
iteration = 75, residual = 9.023492
iteration = 76, residual = 9.016305
iteration = 77, residual = 9.009160
iteration = 78, residual = 9.002055
iteration = 79, residual = 8.994989
iteration = 80, residual = 8.987963
iteration = 81, residual = 8.980975
iteration = 82, residual = 8.974024
iteration = 83, residual = 8.967110
iteration = 84, residual = 8.960232
iteration = 85, residual = 8.953390
iteration = 86, residual = 8.946582
iteration = 87, residual = 8.939809
iteration = 88, residual = 8.933069
iteration = 89, residual = 8.926362
iteration = 90, residual = 8.919688
iteration = 91, residual = 8.913046
iteration = 92, residual = 8.906435
iteration = 93, residual = 8.899855
iteration = 94, residual = 8.893305
iteration = 95, residual = 8.886785
iteration = 96, residual = 8.880295
iteration = 97, residual = 8.873833
iteration = 98, residual = 8.867400
iteration = 99, residual = 8.860995
iteration = 100, residual = 8.854618
Time taken: 0.000202
